"type_voie","determinant","nom","borne_debut","borne_fin","parite","quartier","code_postal","commune","date_mise_a_jour"
"RUE",NULL,"GEORGES APPAY",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"ALLEE",NULL,"GEORGES BIZET",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE",NULL,"GEORGES POMPIDOU",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE","DES","GROS BUISSONS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"GROTIUS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"GUILLAUME LENOIR",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"GUILLEMETTE FAUSSART",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"GUSTAVE FLOURENS",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"AVENUE",NULL,"GUSTAVE STRESEMANN",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"PLACE","DE LA","HALLE",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"PLACE",NULL,"HENRI IV",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"HENRI REGNAULT",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"BOULEVARD",NULL,"HENRI SELLIER",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"BOULEVARD",NULL,"HENRI SELLIER",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"BOULEVARD",NULL,"HENRI SELLIER",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE L'","HIPPODROME",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"CHEMIN","DES","HOCQUETTES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"DOMAINE","DES","HOCQUETTES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"HONORE D'ESTIENNE D'ORVES",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"HONORE D'ESTIENNE D'ORVES",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"HUBERT CHARPENTIER",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"HUCHE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ESPLANADE",NULL,"JACQUES CHIRAC",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"CITE",NULL,"JACQUES DECOUR",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"JACQUES DECOUR",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE",NULL,"JACQUES OFFENBACH",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE",NULL,"JEAN-BAPTISTE LULLY",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"JEAN-JACQUES ROUSSEAU",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"AVENUE",NULL,"JEAN JAURES",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"JEAN MACE",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE","DES","JONQUILLES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"ALLEE",NULL,"JULES FERRY",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"JULES FERRY",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
